Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Bangsar, Kuala Lumpur","RM 1,280,000",3,2,,1-sty Terrace/Link House,Land area : 22x80 sq. ft.,
"Bangsar, Kuala Lumpur","RM 2,200,000",3+1,4,,2-sty Terrace/Link House,Land area : 22x85 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 325,000",3,2,1,Condominium,Built-up : 845 sq. ft.,Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 600,000",3+2,2,,1-sty Terrace/Link House (Intermediate),"Built-up : 1,540 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur","RM 1,000,000",3,3,2,Serviced Residence,Built-up : 716 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 530,000",4,3,2,Serviced Residence,Built-up : 931 sq. ft.,Partly Furnished
"Titiwangsa, Kuala Lumpur","RM 620,000",3,2,1,Serviced Residence,"Built-up : 1,100 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 650,000",Studio,1,1,Serviced Residence (Intermediate),Land area : 462 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,400,000",3,2,2,Serviced Residence (Intermediate),"Built-up : 1,228 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 3,600,000",5+1,6,7,Semi-detached House (Intermediate),Land area : 4500 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,904,300",3+1,5,,Serviced Residence (Corner),"Built-up : 2,766 sq. ft.",Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 2,700,000",4+1,5,3,Condominium,"Built-up : 3,660 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 1,200,000",4,3,4,2-sty Terrace/Link House (Corner),Land area : 41x70 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 750,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,066 sq. ft.",Partly Furnished
"Setiawangsa, Kuala Lumpur","RM 3,180,000",4+1,3,3,2-sty Terrace/Link House (Corner),Land area : 3600 sq. ft.,Partly Furnished
"Seputeh, Kuala Lumpur","RM 560,000",1+1,2,1,Condominium,Built-up : 687 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,200,000",1+1,1,1,Condominium (Intermediate),Land area : 811 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur","RM 1,000,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 1,800,000",5,6,,Semi-detached House (Intermediate),Land area : 3475 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 1,250,000",5+1,5,,Semi-detached House (Intermediate),Land area : 43x79 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 1,600,000",6+1,5,,Semi-detached House (Corner),Land area : 80x80 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 12,000,000",5+1,7,,Bungalow,Land area : 7000 sq. ft.,Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,750,000",5+1,5,,2.5-sty Terrace/Link House (EndLot),Land area : 32x75 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 1,900,000",3+1,5,,Condominium,"Built-up : 2,573 sq. ft.",Unfurnished
"Sungai Besi, Kuala Lumpur","RM 1,150,000",5,4,,3-sty Terrace/Link House (Intermediate),Land area : 20x75 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 570,000",3,2,2,Condominium,"Built-up : 1,044 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 610,000",3,2,1,Condominium,"Built-up : 1,005 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 560,000",3,2,1,Condominium,"Built-up : 1,105 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 850,000",4,3,2,2-sty Terrace/Link House,"Built-up : 1,920 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 510,300",3+1,,,Condominium (Corner),"Built-up : 1,335 sq. ft.",
"Taman Melawati, Kuala Lumpur","RM 550,000",3,2,,1-sty Terrace/Link House (Intermediate),Land area : 20X75 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 800,000",3+1,3,,Condominium (Intermediate),Land area : 1600 sq. ft.,
"Dutamas, Kuala Lumpur","RM 750,000",3,2,,Condominium,"Built-up : 1,253 sq. ft.",
"Cheras, Kuala Lumpur","RM 428,000",3,2,3,Condominium (Intermediate),Built-up : 900 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,150,000",4+1,4,,Condominium (Intermediate),Land area : 1970 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 938,000",4+1,4,,Condominium (Corner),Land area : 1830 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,550,000",4+2,6,3,Condominium (Corner),Land area : 4740 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,080,000",3+1,4,,Condominium (Corner),"Built-up : 1,850 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,880,000",4+1,4,,Condominium (Corner),Land area : 5823 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,500,000",6,5,,Condominium (Corner),"Built-up : 3,000 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 790,000",3+1,3,,Condominium,"Built-up : 1,356 sq. ft.",
"Dutamas, Kuala Lumpur","RM 908,000",3+1,2,2,Condominium,"Built-up : 1,451 sq. ft.",
"KL City, Kuala Lumpur","RM 880,000",2,2,1,Condominium (Corner),"Built-up : 1,056 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 830,000",3+1,4,,Condominium (Corner),"Built-up : 1,600 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 730,000",3+1,3,2,Condominium,"Built-up : 1,356 sq. ft.",
"Dutamas, Kuala Lumpur","RM 950,000",4+1,4,,Condominium,"Built-up : 1,970 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 740,000",3+1,3,,Condominium (Intermediate),Land area : 1356 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,700,000",6+1,6,3,Condominium (Corner),Land area : 3600 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 780,000",3,2,,Condominium,"Built-up : 1,253 sq. ft.",
"OUG, Kuala Lumpur","RM 760,000",4,3,,2-sty Terrace/Link House (Intermediate),"Built-up : 2,056 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 951,000",4,3,,2-sty Terrace/Link House (Intermediate),"Built-up : 2,000 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 470,000",3+1,2,1,Condominium (Corner),"Built-up : 1,326 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 3,280,000",5+1,6,2,Semi-detached House,Land area : 4047 sq. ft.,Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 2,800,000",2,2,1,Serviced Residence,"Built-up : 1,307 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur","RM 1,640,000",1+1,2,1,Serviced Residence (EndLot),"Built-up : 1,259 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 1,720,000",6,4,,2-sty Terrace/Link House (Corner),Land area : 48x85 sq. ft.,Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 2,850,000",4+1,5,,Semi-detached House (Corner),Land area : 6300 sq. ft.,Partly Furnished
"Taman Melawati, Kuala Lumpur","RM 3,500,000",6,6,,Bungalow (Corner),"Built-up : 7,100 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,377,000",,,,Residential Land,Land area : 6120 sq. ft.,
"Sri Hartamas, Kuala Lumpur","RM 3,200,000",5+1,5,2,Semi-detached House,Land area : 3600 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 3,200,000",4+1,5,2,Semi-detached House,Land area : 2850 sq. ft.,
"Sungai Besi, Kuala Lumpur","RM 820,000",2,2,2,Serviced Residence (Duplex),"Built-up : 1,259 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,297,500",1+1,1,2,Serviced Residence (Intermediate),Built-up : 925 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,400,000",2+1,2,2,Condominium,"Built-up : 1,259 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 2,800,000",4+1,4,3,Condominium,"Built-up : 3,460 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 610,000",3,2,2,Condominium (Corner),"Built-up : 1,570 sq. ft.",Partly Furnished
"Brickfields, Kuala Lumpur","RM 600,000",Studio,1,,Serviced Residence,Built-up : 468 sq. ft.,Fully Furnished
"Brickfields, Kuala Lumpur","RM 900,000",2+1,2,,Serviced Residence (Intermediate),Built-up : 838 sq. ft.,Fully Furnished
"Brickfields, Kuala Lumpur","RM 930,000",2+1,2,,Serviced Residence,Built-up : 838 sq. ft.,Fully Furnished
"Brickfields, Kuala Lumpur","RM 615,000",Studio,1,,Serviced Residence,Built-up : 468 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 650,000",3+1,3,2,Condominium (Intermediate),"Built-up : 1,598 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 960,000",3+1,3,2,Condominium (Corner),"Built-up : 1,535 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,280,000",4+2,6,3,Condominium,"Built-up : 3,729 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,750,000",4+1,6,3,Condominium,"Built-up : 3,317 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 1,200,000",5+1,4,,2-sty Terrace/Link House (EndLot),"Built-up : 2,850 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur","RM 1,100,000",1+1,1,1,Serviced Residence,Built-up : 625 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,680,000",4+1,6,2,Condominium,"Built-up : 3,169 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur","RM 1,200,000",3,2,1,Serviced Residence (Intermediate),"Built-up : 1,281 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 345,000",3,2,1,Apartment (Corner),Built-up : 780 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur","RM 598,000",1,1,,Serviced Residence (Intermediate),Built-up : 638 sq. ft.,Fully Furnished
"KL City, Kuala Lumpur","RM 318,000",Studio,1,,Serviced Residence,Built-up : 325 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 1,100,000",5,4,2,3-sty Terrace/Link House (Intermediate),Land area : 20x70 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,900,000",3+1,4,2,Condominium,"Built-up : 2,070 sq. ft.",Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 3,500,000",7,7,4,Bungalow (Intermediate),Land area : 4200 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur","RM 5,200,000",5,5,4,Bungalow (Intermediate),"Built-up : 4,000 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,396,000",1,1,1,Serviced Residence,Built-up : 652 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,688,000",4+1,6,3,Condominium,"Built-up : 3,500 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur","RM 1,300,000",3+1,4,,Serviced Residence (Intermediate),"Built-up : 1,435 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 229,000",3,2,1,Apartment,Built-up : 780 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 1,200,000",3,2,1,Serviced Residence (Intermediate),"Built-up : 1,281 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 599,000",3,2,1,Condominium (Intermediate),"Built-up : 1,050 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 2,280,000",5,7,4,Semi-detached House (Corner),Land area : 5900 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 1,900,000",3+1,4,2,Condominium,"Built-up : 1,595 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 5,000,000",4+1,4,,Condominium (Corner),"Built-up : 4,690 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 8,500,000",4+1,6,4,Condominium (Corner),"Built-up : 4,771 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,257,000",2+1,2,2,Condominium,"Built-up : 1,559 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 1,150,000",2+1,3,2,Serviced Residence,"Built-up : 1,435 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,080,000",3,2,1,Condominium (Intermediate),"Built-up : 1,590 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur","RM 1,130,000",3,2,2,Condominium (Intermediate),"Built-up : 1,485 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,250,000",3,2,2,Condominium (Corner),"Built-up : 1,590 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 5,000,000",5+1,5,6,Bungalow,Land area : 6700 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 2,600,000",4,3,5,2-sty Terrace/Link House (Corner),Land area : 3797 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,040,000",3,3,1,Condominium,"Built-up : 1,529 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 675,000",2,2,1,Serviced Residence,Built-up : 868 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 650,000",,,1,Serviced Residence,"Built-up : 1,080 sq. ft.",Fully Furnished
"Jalan Ipoh, Kuala Lumpur","RM 2,780,000",6+1,7,,Semi-detached House,Land area : 38x93 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur","RM 985,000",3,2,2,Condominium (Intermediate),"Built-up : 1,590 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur","RM 1,330,000",2,2,1,Condominium (Corner),"Built-up : 1,356 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,390,000",2,2,1,Condominium (Corner),"Built-up : 1,368 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 670,000",3,2,2,Condominium (Intermediate),"Built-up : 1,234 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,100,000",1,1,1,Serviced Residence,Built-up : 636 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 158,000",3,2,,Flat,Built-up : 650 sq. ft.,Unfurnished
"Desa ParkCity, Kuala Lumpur","RM 2,380,000",4+1,5,4,Condominium,"Built-up : 2,474 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 1,280,000",6,4,,3-sty Terrace/Link House,,
"Kepong, Kuala Lumpur","RM 480,000",3,2,1,Serviced Residence,"Built-up : 1,159 sq. ft.",
"Kepong, Kuala Lumpur","RM 700,000",4,2,2,Condominium,"Built-up : 1,396 sq. ft.",Fully Furnished
"Bandar Menjalara, Kuala Lumpur","RM 358,000",3+1,2,1,Serviced Residence,,
"Sri Hartamas, Kuala Lumpur","RM 450,000",Studio,1,,Serviced Residence,Built-up : 595 sq. ft.,
"Segambut, Kuala Lumpur","RM 360,000",3,2,1,Apartment,Built-up : 918 sq. ft.,
"Dutamas, Kuala Lumpur","RM 880,000",1,1,1,Condominium (Intermediate),Built-up : 683 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,478,600",4+1,4,,Condominium (Corner),"Built-up : 2,916 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 229,000",3,2,1,Apartment,Built-up : 780 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 730,000",1,1,1,Serviced Residence,Built-up : 780 sq. ft.,
"KL City, Kuala Lumpur","RM 1,200,000",3,2,1,Serviced Residence (Intermediate),"Built-up : 1,281 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 950,000",4,3,2,2-sty Terrace/Link House,,
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 650,000",3+1,4,2,Condominium (Intermediate),"Built-up : 1,363 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,600,000",4+1,,3,Condominium,"Built-up : 3,900 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,600,000",4+1,,3,Condominium (Penthouse),"Built-up : 5,500 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 669,000",2+1,2,2,Condominium,"Built-up : 1,038 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 950,000",4+1,3,2,Condominium (Intermediate),"Built-up : 1,513 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,150,000",4+1,4,4,Condominium (Intermediate),"Built-up : 1,772 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 648,000",2+1,2,2,Condominium,"Built-up : 1,038 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,390,000",5+1,4,4,Condominium (Intermediate),"Built-up : 1,930 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 3,300",4+1,4,4,Condominium (Intermediate),"Built-up : 1,772 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 860,000",3,3,2,Serviced Residence,"Built-up : 1,380 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 700,000",,2,2,Condominium (Corner),"Built-up : 1,407 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur","RM 5,450,000",4+2,6,,Bungalow,Land area : 5440 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 435,000",3+1,2,2,Serviced Residence (Intermediate),Built-up : 918 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 780,000",,,,Serviced Residence (Intermediate),"Built-up : 1,125 sq. ft.",Partly Furnished
"Jalan Sultan Ismail, Kuala Lumpur","RM 930,000",2+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,300 sq. ft.",Fully Furnished
"Jalan Sultan Ismail, Kuala Lumpur","RM 515,000",1,1,,Serviced Residence (Intermediate),Built-up : 560 sq. ft.,Fully Furnished
"Sri Petaling, Kuala Lumpur","RM 800,000",3+1,3,,1.5-sty Terrace/Link House (Intermediate),Land area : 22x100 sq. ft.,Fully Furnished
"Jalan Sultan Ismail, Kuala Lumpur","RM 440,000",Studio,1,,Serviced Residence,,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,937,320",3,2,1,Serviced Residence,"Built-up : 1,190 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 648,000",4,3,4,2-sty Terrace/Link House (EndLot),"Built-up : 2,200 sq. ft.",Partly Furnished
"Jalan Sultan Ismail, Kuala Lumpur","RM 430,000",Studio,1,,Serviced Residence (Intermediate),Built-up : 500 sq. ft.,Partly Furnished
"Damansara, Kuala Lumpur","RM 9,700,000",6,6,10,Bungalow,Land area : 81000 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 590,000",4,2,1,Condominium,"Built-up : 1,285 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 420,000",3,2,1,Apartment,"Built-up : 1,008 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 728,000",3,2,,Condominium,"Built-up : 1,280 sq. ft.",Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 308,000",3,2,1,Condominium,"Built-up : 1,070 sq. ft.",
"Sungai Besi, Kuala Lumpur","RM 600,000",3,2,2,Serviced Residence,"Built-up : 1,025 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur","RM 558,000",3,2,3,Condominium,"Built-up : 1,037 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 600,000",3,2,2,Condominium (Intermediate),"Built-up : 1,250 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 855,000",3+1,3,,Condominium,Land area : 1513 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 728,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 20 x 65 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 383,820",3,2,,Condominium (Intermediate),Land area : 1270 sq. ft.,Unfurnished
"KL Sentral, Kuala Lumpur","RM 1,900,000",2,2,1,Serviced Residence,"Built-up : 1,399 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,260,000",2,2,1,Serviced Residence (Corner),Built-up : 980 sq. ft.,Fully Furnished
"KL Sentral, Kuala Lumpur","RM 5,129,000",4,4,3,Serviced Residence (Penthouse),"Built-up : 3,143 sq. ft.",
"KL Sentral, Kuala Lumpur","RM 4,753,000",4,4,3,Serviced Residence,"Built-up : 3,283 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,455,000",1,2,1,Serviced Residence,"Built-up : 1,119 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 4,718,000",4,4,3,Serviced Residence,"Built-up : 3,143 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 4,400,000",4,4,3,Serviced Residence,"Built-up : 2,949 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 415,000",3,2,1,Condominium (Corner),Built-up : 920 sq. ft.,Fully Furnished
"Seputeh, Kuala Lumpur","RM 898,380",3,2,2,Condominium (Corner),"Built-up : 1,087 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur","RM 765,390",1,1,1,Condominium (Corner),Built-up : 850 sq. ft.,Partly Furnished
"Seputeh, Kuala Lumpur","RM 661,700",1,1,1,Condominium (Corner),Built-up : 807 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 650,000",5,3,2,2-sty Terrace/Link House (Intermediate),Land area : 20x65 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 420,000",3+1,2,,Condominium,Land area : 1207 sq. ft.,Unfurnished
"Dutamas, Kuala Lumpur","RM 1,150,000",2,2,2,Serviced Residence,"Built-up : 1,148 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,120,000",2,2,1,Serviced Residence,"Built-up : 1,145 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,050,000",2,2,1,Serviced Residence,"Built-up : 1,145 sq. ft.",Fully Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 2,570,000",4,4,5,Condominium,"Built-up : 2,800 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,100,000",3,2,2,Serviced Residence,"Built-up : 1,238 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,600,000",4+1,5,,Condominium,"Built-up : 3,720 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 720,000",1,1,1,Serviced Residence,Built-up : 672 sq. ft.,Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 430,000",,,,Serviced Residence,Built-up : 500 sq. ft.,Fully Furnished
"Segambut, Kuala Lumpur","RM 520,000",3,2,,3-sty Terrace/Link House,"Built-up : 1,142 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 3,000",1,1,1,Serviced Residence,Built-up : 748 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 850,000",1,1,2,Serviced Residence (Intermediate),Built-up : 672 sq. ft.,Fully Furnished
"Seputeh, Kuala Lumpur","RM 720,000",2,2,1,Condominium,"Built-up : 1,044 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur","RM 700,000",2,2,1,Condominium,"Built-up : 1,011 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur","RM 1,200,000",3+1,3,2,Condominium,"Built-up : 1,798 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 348,000",3,2,1,Condominium,Built-up : 853 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 690,000",3,3,2,2.5-sty Terrace/Link House,"Built-up : 1,400 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,300,000",5,4,,3-sty Terrace/Link House (Intermediate),"Built-up : 3,200 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,580,000",3+1,4,3,Condominium,"Built-up : 2,648 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 530,000",2,2,1,Condominium (EndLot),"Built-up : 1,400 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 580,000",3,2,2,Condominium,"Built-up : 1,100 sq. ft.",Unfurnished
"OUG, Kuala Lumpur","RM 3,500,000",4,4,6,Bungalow,Land area : 8000 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur","RM 600,000",3,2,2,2-sty Terrace/Link House,"Built-up : 1,684 sq. ft.",Unfurnished
"Sri Petaling, Kuala Lumpur","RM 410,000",3,2,1,1-sty Terrace/Link House,Land area : 784 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 900,000",2,2,,Serviced Residence,Built-up : 861 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 900,000",2,2,,Serviced Residence,Built-up : 861 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 1,070,000",2,2,,Serviced Residence,Built-up : 891 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 1,070,000",2,2,,Serviced Residence,Built-up : 891 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 2,150,000",3+1,4,2,Condominium (Corner),"Built-up : 2,573 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 515,000",2,2,,Serviced Residence (Corner),Built-up : 736 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 610,000",3,2,,Serviced Residence (Corner),Built-up : 931 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 499,000",3,3,2,Condominium,"Built-up : 1,100 sq. ft.",
"Cheras, Kuala Lumpur","RM 1,750,000",5+1,6,,Semi-detached House (Intermediate),Land area : 40 x 80 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 968,000",3,2,2,2-sty Terrace/Link House (Corner),Land area : 3000 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 630,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 1,900,000",5,3,6,Bungalow (Intermediate),Land area : 10350 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 415,000",1,1,,Serviced Residence (Corner),Built-up : 600 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 480,000",2,2,,Serviced Residence (Corner),Built-up : 686 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 860,000",4,2,,Serviced Residence (Corner),"Built-up : 1,278 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 950,000",4,3,,Serviced Residence (Corner),"Built-up : 1,470 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 5,788,000",5+1,5,6,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
"Puchong, Kuala Lumpur","RM 973,150",4+1,5,4,2-sty Terrace/Link House (Corner),Land area : 3756 sq. ft.,
"Sunway SPK, Kuala Lumpur","RM 973,150",4+1,5,4,2-sty Terrace/Link House (Corner),Land area : 3756 sq. ft.,
